Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,95.4327,95.4327,1.0854,95.4327,95.4327,1.0958,111.8220,0.3839,1.1717,1.1717
c-n41-k10,105.9391,105.9391,91.5407,105.9391,105.9391,86.1627,130.8669,6.2342,1.2353,1.2353
c-n61-k14,-,-,-,-,-,-,115.2716,6.6382,-,-
c-n81-k18,-,-,-,-,-,-,136.1318,15.8689,-,-
c-n101-k22,-,-,-,-,-,-,139.3386,10.1982,-,-
r-n21-k6,177.6325,177.6325,1.5650,177.6325,177.6325,1.2609,190.0527,0.1112,1.0699,1.0699
r-n41-k10,187.4034,187.4034,28.8157,187.4034,187.4034,28.7263,223.8441,2.3361,1.1945,1.1945
r-n61-k14,-,-,-,-,-,-,204.8070,6.9495,-,-
r-n81-k18,-,-,-,-,-,-,201.9953,3.8912,-,-
r-n101-k22,-,-,-,-,-,-,180.6514,5.9205,-,-
RC-n21-k6,132.1697,132.1697,0.4130,132.1697,132.1697,0.3671,142.6467,0.6066,1.0793,1.0793
RC-n41-k10,-,-,-,-,-,-,144.8771,0.8176,-,-
RC-n61-k14,-,-,-,-,-,-,125.2080,12.9280,-,-
RC-n81-k18,-,-,-,-,-,-,173.1485,11.1992,-,-
RC-n101-k22,-,-,-,-,-,-,164.2364,6.7959,-,-
