Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,77.1031,80.4574,600.0537,78.4005,80.4574,7200.1530,80.4574,2.1250,1.0262,1.0000
c-n41-k10,-,-,-,-,-,-,118.5343,2.2643,-,-
c-n61-k14,-,-,-,-,-,-,102.1229,2.3300,-,-
c-n81-k18,-,-,-,-,-,-,73.6810,4.7937,-,-
c-n101-k22,-,-,-,-,-,-,95.3194,18.9212,-,-
r-n21-k6,123.8977,123.9100,129.2752,123.8977,123.9100,131.0011,189.4699,0.4792,1.5292,1.5291
r-n41-k10,-,-,-,-,-,-,156.7775,8.5645,-,-
r-n61-k14,-,-,-,-,-,-,133.8593,4.3971,-,-
r-n81-k18,-,-,-,-,-,-,188.5563,7.9956,-,-
r-n101-k22,-,-,-,-,-,-,154.1084,14.7172,-,-
RC-n21-k6,124.4197,125.4056,600.0827,125.4056,125.4056,1052.0579,126.9040,0.3653,1.0119,1.0119
RC-n41-k10,-,-,-,-,-,-,138.1914,1.3928,-,-
RC-n61-k14,-,-,-,-,-,-,125.2940,3.0122,-,-
RC-n81-k18,-,-,-,-,-,-,117.1350,8.3145,-,-
RC-n101-k22,-,-,-,-,-,-,134.3407,13.0535,-,-
