RC201

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        960          0   
    1      25         85         20        673        793         10   
    2      22         75         30        152        272         10   
    3      22         85         10        471        591         10   
    4      20         80         40        644        764         10   
    5      20         85         20         73        193         10   
    6      18         75         20        388        508         10   
    7      15         75         20        300        420         10   
    8      15         80         10        367        487         10   
    9      10         35         20        371        491         10   
   10      10         40         30        519        639         10   
   11       8         40         40        195        315         10   
   12       8         45         20        223        343         10   
   13       5         35         10        653        773         10   
   14       5         45         10         35        155         10   
   15       2         40         20        174        294         10   
   16       0         40         20        255        375         10   
   17       0         45         20        703        823         10   
   18      44          5         20        335        455         10   
   19      42         10         40        254        374         10   
   20      42         15         10        537        657         10   
   21      40          5         10        215        335         10   
   22      40         15         40        375        495         10   
   23      38          5         30        201        321         10   
   24      38         15         10        681        801         10   
   25      35          5         20        784        904         10   
   26      95         30         30        529        649         10   
   27      95         35         20        146        266         10   
   28      92         30         10        149        269         10   
   29      90         35         10        194        314         10   
   30      88         30         10        246        366         10   
   31      88         35         20        165        285         10   
   32      87         30         10        621        741         10   
   33      85         25         10         80        200         10   
   34      85         35         30        487        607         10   
   35      67         85         20        657        777         10   
   36      65         85         40         43        163         10   
   37      65         82         10        557        677         10   
   38      62         80         30        278        398         10   
   39      60         80         10         64        184         10   
   40      60         85         30        329        449         10   
   41      58         75         20        376        496         10   
   42      55         80         10         33        153         10   
   43      55         85         20        574        694         10   
   44      55         82         10        217        337         10   
   45      20         82         10         37        157         10   
   46      18         80         10        489        609         10   
   47       2         45         10        105        225         10   
   48      42          5         10        732        852         10   
   49      42         12         10        440        560         10   
   50      72         35         30        507        627         10   
   51      55         20         19        326        446         10   
   52      25         30          3        175        295         10   
   53      20         50          5        375        495         10   
   54      55         60         16        601        721         10   
   55      30         60         16        599        719         10   
   56      50         35         19        557        677         10   
   57      30         25         23        397        517         10   
   58      15         10         20        782        902         10   
   59      10         20         19         42        162         10   
   60      15         60         17        694        814         10   
   61      45         65          9        258        378         10   
   62      65         35          3        167        287         10   
   63      65         20          6         39        159         10   
   64      45         30         17        191        311         10   
   65      35         40         16         11        131         10   
   66      41         37         16        566        686         10   
   67      64         42          9        268        388         10   
   68      40         60         21        612        732         10   
   69      31         52         27        157        277         10   
   70      35         69         23        810        930         10   
   71      65         55         14        241        361         10   
   72      63         65          8         60        180         10   
   73       2         60          5        286        406         10   
   74      20         20          8        645        765         10   
   75       5          5         16        232        352         10   
   76      60         12         31        268        388         10   
   77      23          3          7        764        884         10   
   78       8         56         27        365        485         10   
   79       6         68         30        352        472         10   
   80      47         47         13        822        942         10   
